drug_name,generic_name,category,dosage_form,color,shape,indication,manufacturer,strength,text_description,description,drug_name_ar,generic_name_ar,drug_class_ar,dosage_form_ar,color_ar,shape_ar,indications_ar,rx_otc_status_en,side_effects_en,side_effects_ar,contraindications_en,contraindications_ar
Norvasc,Amlodipine,Calcium Channel Blocker,Tablet,White,Round,Hypertension; Angina pectoris,Pfizer,5 mg,norvasc generic amlodipine form tablet class calcium channel blocker indication hypertension; angina pectoris color white shape round amlodipine besylate 5 mg peripheral edema; dizziness; flushing; fatigue severe aortic stenosis; hypotension; cardiogenic shock نورفاسك أملوديبين قرص حاصر قنوات الكالسيوم ارتفاع ضغط الدم؛ الذبحة الصدرية أبيض دائري وذمة طرفية؛ دوخة؛ احمرار الوجه؛ إرهاق تضيق الأبهر الشديد؛ انخفاض ضغط الدم؛ صدمة قلبية,norvasc generic amlodipine form tablet class calcium channel blocker indication hypertension; angina pectoris color white shape round amlodipine besylate 5 mg peripheral edema; dizziness; flushing; fatigue severe aortic stenosis; hypotension; cardiogenic shock نورفاسك أملوديبين قرص حاصر قنوات الكالسيوم ارتفاع ضغط الدم؛ الذبحة الصدرية أبيض دائري وذمة طرفية؛ دوخة؛ احمرار الوجه؛ إرهاق تضيق الأبهر الشديد؛ انخفاض ضغط الدم؛ صدمة قلبية,نورفاسك,أملوديبين,حاصر قنوات الكالسيوم,قرص,أبيض,دائري,ارتفاع ضغط الدم؛ الذبحة الصدرية,Prescription,Peripheral edema; Dizziness; Flushing; Fatigue,وذمة طرفية؛ دوخة؛ احمرار الوجه؛ إرهاق,Severe aortic stenosis; Hypotension; Cardiogenic shock,تضيق الأبهر الشديد؛ انخفاض ضغط الدم؛ صدمة قلبية
Norvasc,Amlodipine,Calcium Channel Blocker,Tablet,White,Round,Hypertension; Angina pectoris,Pfizer,10 mg,norvasc generic amlodipine form tablet class calcium channel blocker indication hypertension; angina pectoris color white shape round amlodipine besylate 10 mg peripheral edema; dizziness; flushing; headache severe aortic stenosis; hypotension نورفاسك أملوديبين قرص حاصر قنوات الكالسيوم ارتفاع ضغط الدم؛ الذبحة الصدرية أبيض دائري وذمة طرفية؛ دوخة؛ احمرار الوجه؛ صداع تضيق الأبهر الشديد؛ انخفاض ضغط الدم,norvasc generic amlodipine form tablet class calcium channel blocker indication hypertension; angina pectoris color white shape round amlodipine besylate 10 mg peripheral edema; dizziness; flushing; headache severe aortic stenosis; hypotension نورفاسك أملوديبين قرص حاصر قنوات الكالسيوم ارتفاع ضغط الدم؛ الذبحة الصدرية أبيض دائري وذمة طرفية؛ دوخة؛ احمرار الوجه؛ صداع تضيق الأبهر الشديد؛ انخفاض ضغط الدم,نورفاسك,أملوديبين,حاصر قنوات الكالسيوم,قرص,أبيض,دائري,ارتفاع ضغط الدم؛ الذبحة الصدرية,Prescription,Peripheral edema; Dizziness; Flushing; Headache,وذمة طرفية؛ دوخة؛ احمرار الوجه؛ صداع,Severe aortic stenosis; Hypotension,تضيق الأبهر الشديد؛ انخفاض ضغط الدم
Concor,Bisoprolol,Beta Blocker,Tablet,Yellow,Heart-shaped,Hypertension; Heart failure; Angina,Merck,5 mg,concor generic bisoprolol form tablet class beta blocker indication hypertension; heart failure; angina color yellow shape heart-shaped bisoprolol fumarate 5 mg bradycardia; fatigue; dizziness; cold extremities severe bradycardia; acute heart failure; asthma كونكور بيسوبرولول قرص حاصر بيتا ارتفاع ضغط الدم؛ فشل القلب؛ الذبحة الصدرية أصفر على شكل قلب بطء القلب؛ إرهاق؛ دوخة؛ برودة الأطراف بطء القلب الشديد؛ فشل قلبي حاد؛ الربو,concor generic bisoprolol form tablet class beta blocker indication hypertension; heart failure; angina color yellow shape heart-shaped bisoprolol fumarate 5 mg bradycardia; fatigue; dizziness; cold extremities severe bradycardia; acute heart failure; asthma كونكور بيسوبرولول قرص حاصر بيتا ارتفاع ضغط الدم؛ فشل القلب؛ الذبحة الصدرية أصفر على شكل قلب بطء القلب؛ إرهاق؛ دوخة؛ برودة الأطراف بطء القلب الشديد؛ فشل قلبي حاد؛ الربو,كونكور,بيسوبرولول,حاصر بيتا,قرص,أصفر,على شكل قلب,ارتفاع ضغط الدم؛ فشل القلب؛ الذبحة الصدرية,Prescription,Bradycardia; Fatigue; Dizziness; Cold extremities,بطء القلب؛ إرهاق؛ دوخة؛ برودة الأطراف,Severe bradycardia; Acute heart failure; Asthma,بطء القلب الشديد؛ فشل قلبي حاد؛ الربو
Concor,Bisoprolol,Beta Blocker,Tablet,Orange,Heart-shaped,Hypertension; Heart failure,Merck,10 mg,concor generic bisoprolol form tablet class beta blocker indication hypertension; heart failure color orange shape heart-shaped bisoprolol fumarate 10 mg bradycardia; fatigue; dizziness severe bradycardia; av block; asthma كونكور بيسوبرولول قرص حاصر بيتا ارتفاع ضغط الدم؛ فشل القلب برتقالي على شكل قلب بطء القلب؛ إرهاق؛ دوخة بطء القلب الشديد؛ إحصار أذيني بطيني؛ الربو,concor generic bisoprolol form tablet class beta blocker indication hypertension; heart failure color orange shape heart-shaped bisoprolol fumarate 10 mg bradycardia; fatigue; dizziness severe bradycardia; av block; asthma كونكور بيسوبرولول قرص حاصر بيتا ارتفاع ضغط الدم؛ فشل القلب برتقالي على شكل قلب بطء القلب؛ إرهاق؛ دوخة بطء القلب الشديد؛ إحصار أذيني بطيني؛ الربو,كونكور,بيسوبرولول,حاصر بيتا,قرص,برتقالي,على شكل قلب,ارتفاع ضغط الدم؛ فشل القلب,Prescription,Bradycardia; Fatigue; Dizziness,بطء القلب؛ إرهاق؛ دوخة,Severe bradycardia; AV block; Asthma,بطء القلب الشديد؛ إحصار أذيني بطيني؛ الربو
Zestril,Lisinopril,ACE Inhibitor,Tablet,Pink,Round,Hypertension; Heart failure; Post-MI,AstraZeneca,10 mg,zestril generic lisinopril form tablet class ace inhibitor indication hypertension; heart failure; post-mi color pink shape round lisinopril 10 mg cough; dizziness; headache; hyperkalemia angioedema history; bilateral renal artery stenosis; pregnancy زيستريل ليسينوبريل قرص مثبط الإنزيم المحول للأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية وردي دائري سعال؛ دوخة؛ صداع؛ فرط بوتاسيوم الدم تاريخ وذمة وعائية؛ تضيق الشريان الكلوي الثنائي؛ الحمل,zestril generic lisinopril form tablet class ace inhibitor indication hypertension; heart failure; post-mi color pink shape round lisinopril 10 mg cough; dizziness; headache; hyperkalemia angioedema history; bilateral renal artery stenosis; pregnancy زيستريل ليسينوبريل قرص مثبط الإنزيم المحول للأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية وردي دائري سعال؛ دوخة؛ صداع؛ فرط بوتاسيوم الدم تاريخ وذمة وعائية؛ تضيق الشريان الكلوي الثنائي؛ الحمل,زيستريل,ليسينوبريل,مثبط الإنزيم المحول للأنجيوتنسين,قرص,وردي,دائري,ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية,Prescription,Cough; Dizziness; Headache; Hyperkalemia,سعال؛ دوخة؛ صداع؛ فرط بوتاسيوم الدم,Angioedema history; Bilateral renal artery stenosis; Pregnancy,تاريخ وذمة وعائية؛ تضيق الشريان الكلوي الثنائي؛ الحمل
Zestril,Lisinopril,ACE Inhibitor,Tablet,Red,Round,Hypertension; Heart failure,AstraZeneca,20 mg,zestril generic lisinopril form tablet class ace inhibitor indication hypertension; heart failure color red shape round lisinopril 20 mg cough; dizziness; hypotension; renal impairment angioedema history; pregnancy; hyperkalemia زيستريل ليسينوبريل قرص مثبط الإنزيم المحول للأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب أحمر دائري سعال؛ دوخة؛ انخفاض ضغط الدم؛ قصور كلوي تاريخ وذمة وعائية؛ الحمل؛ فرط بوتاسيوم الدم,zestril generic lisinopril form tablet class ace inhibitor indication hypertension; heart failure color red shape round lisinopril 20 mg cough; dizziness; hypotension; renal impairment angioedema history; pregnancy; hyperkalemia زيستريل ليسينوبريل قرص مثبط الإنزيم المحول للأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب أحمر دائري سعال؛ دوخة؛ انخفاض ضغط الدم؛ قصور كلوي تاريخ وذمة وعائية؛ الحمل؛ فرط بوتاسيوم الدم,زيستريل,ليسينوبريل,مثبط الإنزيم المحول للأنجيوتنسين,قرص,أحمر,دائري,ارتفاع ضغط الدم؛ فشل القلب,Prescription,Cough; Dizziness; Hypotension; Renal impairment,سعال؛ دوخة؛ انخفاض ضغط الدم؛ قصور كلوي,Angioedema history; Pregnancy; Hyperkalemia,تاريخ وذمة وعائية؛ الحمل؛ فرط بوتاسيوم الدم
Diovan,Valsartan,ARB (Angiotensin II Receptor Blocker),Capsule,Light Grey,Capsule,Hypertension; Heart failure; Post-MI,Novartis,80 mg,diovan generic valsartan form capsule class arb (angiotensin ii receptor blocker) indication hypertension; heart failure; post-mi color light grey shape capsule valsartan 80 mg dizziness; headache; hyperkalemia; fatigue pregnancy; severe hepatic impairment; bilateral renal artery stenosis ديوفان فالسارتان كبسولة حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية رمادي فاتح كبسولة دوخة؛ صداع؛ فرط بوتاسيوم الدم؛ إرهاق الحمل؛ قصور كبدي شديد؛ تضيق الشريان الكلوي الثنائي,diovan generic valsartan form capsule class arb (angiotensin ii receptor blocker) indication hypertension; heart failure; post-mi color light grey shape capsule valsartan 80 mg dizziness; headache; hyperkalemia; fatigue pregnancy; severe hepatic impairment; bilateral renal artery stenosis ديوفان فالسارتان كبسولة حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية رمادي فاتح كبسولة دوخة؛ صداع؛ فرط بوتاسيوم الدم؛ إرهاق الحمل؛ قصور كبدي شديد؛ تضيق الشريان الكلوي الثنائي,ديوفان,فالسارتان,حاصر مستقبلات الأنجيوتنسين,كبسولة,رمادي فاتح,كبسولة,ارتفاع ضغط الدم؛ فشل القلب؛ ما بعد الجلطة القلبية,Prescription,Dizziness; Headache; Hyperkalemia; Fatigue,دوخة؛ صداع؛ فرط بوتاسيوم الدم؛ إرهاق,Pregnancy; Severe hepatic impairment; Bilateral renal artery stenosis,الحمل؛ قصور كبدي شديد؛ تضيق الشريان الكلوي الثنائي
Diovan,Valsartan,ARB (Angiotensin II Receptor Blocker),Tablet,Dark Grey,Oval,Hypertension; Heart failure,Novartis,160 mg,diovan generic valsartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; heart failure color dark grey shape oval valsartan 160 mg dizziness; hypotension; renal impairment pregnancy; severe hepatic impairment ديوفان فالسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب رمادي غامق بيضاوي دوخة؛ انخفاض ضغط الدم؛ قصور كلوي الحمل؛ قصور كبدي شديد,diovan generic valsartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; heart failure color dark grey shape oval valsartan 160 mg dizziness; hypotension; renal impairment pregnancy; severe hepatic impairment ديوفان فالسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ فشل القلب رمادي غامق بيضاوي دوخة؛ انخفاض ضغط الدم؛ قصور كلوي الحمل؛ قصور كبدي شديد,ديوفان,فالسارتان,حاصر مستقبلات الأنجيوتنسين,قرص,رمادي غامق,بيضاوي,ارتفاع ضغط الدم؛ فشل القلب,Prescription,Dizziness; Hypotension; Renal impairment,دوخة؛ انخفاض ضغط الدم؛ قصور كلوي,Pregnancy; Severe hepatic impairment,الحمل؛ قصور كبدي شديد
Cozaar,Losartan,ARB (Angiotensin II Receptor Blocker),Tablet,Green,Oval,Hypertension; Diabetic nephropathy; Stroke prevention,MSD,50 mg,cozaar generic losartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; diabetic nephropathy; stroke prevention color green shape oval losartan potassium 50 mg dizziness; hyperkalemia; fatigue; back pain pregnancy; severe hepatic impairment كوزار لوسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ اعتلال الكلى السكري؛ الوقاية من السكتة الدماغية أخضر بيضاوي دوخة؛ فرط بوتاسيوم الدم؛ إرهاق؛ ألم الظهر الحمل؛ قصور كبدي شديد,cozaar generic losartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; diabetic nephropathy; stroke prevention color green shape oval losartan potassium 50 mg dizziness; hyperkalemia; fatigue; back pain pregnancy; severe hepatic impairment كوزار لوسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ اعتلال الكلى السكري؛ الوقاية من السكتة الدماغية أخضر بيضاوي دوخة؛ فرط بوتاسيوم الدم؛ إرهاق؛ ألم الظهر الحمل؛ قصور كبدي شديد,كوزار,لوسارتان,حاصر مستقبلات الأنجيوتنسين,قرص,أخضر,بيضاوي,ارتفاع ضغط الدم؛ اعتلال الكلى السكري؛ الوقاية من السكتة الدماغية,Prescription,Dizziness; Hyperkalemia; Fatigue; Back pain,دوخة؛ فرط بوتاسيوم الدم؛ إرهاق؛ ألم الظهر,Pregnancy; Severe hepatic impairment,الحمل؛ قصور كبدي شديد
Cozaar,Losartan,ARB (Angiotensin II Receptor Blocker),Tablet,Dark Green,Oval,Hypertension; Diabetic nephropathy,MSD,100 mg,cozaar generic losartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; diabetic nephropathy color dark green shape oval losartan potassium 100 mg dizziness; upper respiratory infection; hyperkalemia pregnancy; bilateral renal artery stenosis كوزار لوسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ اعتلال الكلى السكري أخضر غامق بيضاوي دوخة؛ عدوى الجهاز التنفسي العلوي؛ فرط بوتاسيوم الدم الحمل؛ تضيق الشريان الكلوي الثنائي,cozaar generic losartan form tablet class arb (angiotensin ii receptor blocker) indication hypertension; diabetic nephropathy color dark green shape oval losartan potassium 100 mg dizziness; upper respiratory infection; hyperkalemia pregnancy; bilateral renal artery stenosis كوزار لوسارتان قرص حاصر مستقبلات الأنجيوتنسين ارتفاع ضغط الدم؛ اعتلال الكلى السكري أخضر غامق بيضاوي دوخة؛ عدوى الجهاز التنفسي العلوي؛ فرط بوتاسيوم الدم الحمل؛ تضيق الشريان الكلوي الثنائي,كوزار,لوسارتان,حاصر مستقبلات الأنجيوتنسين,قرص,أخضر غامق,بيضاوي,ارتفاع ضغط الدم؛ اعتلال الكلى السكري,Prescription,Dizziness; Upper respiratory infection; Hyperkalemia,دوخة؛ عدوى الجهاز التنفسي العلوي؛ فرط بوتاسيوم الدم,Pregnancy; Bilateral renal artery stenosis,الحمل؛ تضيق الشريان الكلوي الثنائي
